Sample,year,exp,field,plot,,pct.n,pct.c,"FLAGGED FOR RERUN (S=Spillage, E=Error)"
102923,2018,1,A,1,,0.04,0.64,
102924,2018,1,A,2,,0.04,0.61,
102925,2018,1,A,3,,0.06,0.8,
102926,2018,1,A,4,,0.06,0.82,
102927,2018,1,A,5,,0.04,0.65,
102928,2018,1,A,6,,0.08,1.08,
102929,2018,1,A,7,,0.06,0.78,
102930,2018,1,A,8,,0.05,0.72,
102931,2018,1,A,9,,0.06,0.83,
102932,2018,1,A,10,,0.05,0.82,
102933,2018,1,A,11,,0.08,1.04,
102034,2018,1,A,12,,0.05,0.74,
102935,2018,1,A,13,,0.04,0.75,
102936,2018,1,A,14,,0.08,1.02,
102937,2018,1,A,15,,0.05,0.73,
102938,2018,1,A,16,,0.05,0.74,
102939,2018,1,A,17,,0.08,0.98,
102940,2018,1,A,18,,0.06,0.81,
102941,2018,1,A,19,,0.06,0.88,
102942,2018,1,A,20,,0.05,0.7,
102943,2018,1,A,21,,0.07,0.86,
102944,2018,1,A,22,,0.05,0.63,
102945,2018,1,A,23,,0.06,0.72,
102946,2018,1,A,24,,0.06,0.82,
102947,2018,1,A,25,,0.07,0.83,
102948,2018,1,A,26,,0.05,0.75,
102949,2018,1,A,27,,0.06,0.75,
102950,2018,1,A,28,,0.08,1.02,
102951,2018,1,A,29,,0.06,0.8,
102952,2018,1,A,30,,0.06,0.92,
102953,2018,1,A,31,,0.05,0.79,
102954,2018,1,A,32,,0.06,0.87,
102955,2018,1,A,33,,0.06,0.71,
102956,2018,1,A,34,,0.1,1.26,
102957,2018,1,A,35,,0.07,0.94,
102958,2018,1,A,36,,0.08,1.05,
102959,2018,1,A,37,,0.05,0.63,
102960,2018,1,A,38,,0.05,0.75,
102961,2018,1,A,39,,0.08,1.05,
102962,2018,1,A,40,,0.08,1.06,
102963,2018,1,A,41,,0.07,0.89,
102964,2018,1,A,42,,0.06,0.85,
102965,2018,1,A,43,,0.06,0.77,
102966,2018,1,A,44,,0.06,0.72,
102967,2018,1,A,45,,0.04,0.63,
102968,2018,1,A,46,,0.05,0.55,
102969,2018,1,A,47,,0.05,0.63,
102970,2018,1,A,48,,0.08,0.94,
102971,2018,1,A,49,,0.07,0.87,
102972,2018,1,A,50,,0.05,0.65,
102973,2018,1,A,51,,0.06,0.75,
102974,2018,1,A,52,,0.1,1.2,
102975,2018,1,A,53,,0.06,0.72,
102976,2018,1,A,54,,0.06,0.75,
102977,2018,1,B,1,,0.04,0.61,
102978,2018,1,B,2,,0.04,0.58,
102979,2018,1,B,3,,0.07,0.88,
102980,2018,1,B,4,,0.08,1,
102981,2018,1,B,5,,0.06,0.77,
102982,2018,1,B,6,,0.04,0.62,
102983,2018,1,B,7,,0.08,0.98,
102984,2018,1,B,8,,0.06,0.69,
102985,2018,1,B,9,,0.05,0.71,
102986,2018,1,B,10,,0.04,0.66,
102987,2018,1,B,11,,0.04,0.59,
102988,2018,1,B,12,,0.02,0.52,
102989,2018,1,B,13,,0.04,0.64,
102990,2018,1,B,14,,0.05,0.68,
102991,2018,1,B,15,,0.07,0.94,
102992,2018,1,B,16,,0.06,0.86,
102993,2018,1,B,17,,0.04,0.68,
102994,2018,1,B,18,,0.07,1.05,
102995,2018,1,B,19,,0.06,0.81,
102996,2018,1,B,20,,0.05,0.73,
102997,2018,1,B,21,,0.04,0.73,
102998,2018,1,B,22,,0.07,0.88,
102999,2018,1,B,23,,0.04,0.62,
103000,2018,1,B,24,,0.05,0.74,
103001,2018,1,B,25,,0.04,0.7,
103002,2018,1,B,26,,0.04,0.71,
103003,2018,1,B,27,,0.06,0.9,
103004,2018,1,B,28,,0.04,0.6,
103005,2018,1,B,29,,0.06,0.89,
103006,2018,1,B,30,,0.04,0.74,
103007,2018,1,B,31,,0.03,0.58,
103008,2018,1,B,32,,0.05,0.7,
103009,2018,1,B,33,,0.03,0.52,
103010,2018,1,B,34,,0.02,0.48,
103011,2018,1,B,35,,0.03,0.57,
103012,2018,1,B,36,,0.05,0.76,
103013,2018,1,B,37,,0.04,0.69,
103014,2018,1,B,38,,0.04,0.66,
103015,2018,1,B,39,,0.05,0.64,
103016,2018,1,B,40,,0.03,0.55,
103017,2018,1,B,41,,0.04,0.71,
103018,2018,1,B,42,,0.07,0.91,
103019,2018,1,B,43,,0.05,0.81,
103020,2018,1,B,44,,0.07,1.02,
103021,2018,1,B,45,,0.05,0.68,
103022,2018,1,B,46,,0.03,0.5,
103023,2018,1,B,47,,0.09,1.16,
103024,2018,1,B,48,,0.04,0.74,
103025,2018,1,B,49,,0.05,0.69,
103026,2018,1,B,50,,0.08,0.96,
103027,2018,1,B,51,,0.05,0.71,
103028,2018,1,B,52,,0.02,0.49,
103029,2018,1,B,53,,0.06,0.84,
103030,2018,1,B,54,,0.04,0.61,
103031,2018,1,C,1,,0.07,0.94,
103032,2018,1,C,2,,0.07,0.96,
103033,2018,1,C,3,,0.08,1.01,
103034,2018,1,C,4,,0.07,0.8,
103035,2018,1,C,5,,0.09,1.06,
103036,2018,1,C,6,,0.07,1.01,
103037,2018,1,C,7,,0.06,0.88,
103038,2018,1,C,8,,0.06,0.82,
103039,2018,1,C,9,,0.09,1.19,
103040,2018,1,C,10,,0.06,0.83,
103041,2018,1,C,11,,0.06,0.87,
103042,2018,1,C,12,,0.07,0.84,
103043,2018,1,C,13,,0.07,0.91,
103044,2018,1,C,14,,0.08,1.11,
103045,2018,1,C,15,,0.1,1.26,
103046,2018,1,C,16,,0.08,1.18,
103047,2018,1,C,17,,0.07,0.9,
103048,2018,1,C,18,,0.06,0.76,
103049,2018,1,C,19,,0.07,0.99,
103050,2018,1,C,20,,0.06,0.83,
103051,2018,1,C,21,,0.1,1.27,
103052,2018,1,C,22,,0.12,1.29,
103053,2018,1,C,23,,0.1,1.19,
103054,2018,1,C,24,,0.11,1.4,
103055,2018,1,C,25,,0.08,1,
103056,2018,1,C,26,,0.06,0.79,
103057,2018,1,C,27,,0.04,0.67,
103058,2018,1,C,28,,0.06,0.84,
103059,2018,1,C,29,,0.07,0.88,
103060,2018,1,C,30,,0.06,0.66,
103061,2018,1,C,31,,0.08,1.07,
103062,2018,1,C,32,,0.07,0.96,
103063,2018,1,C,33,,0.06,0.69,
103064,2018,1,C,34,,0.08,1,
103065,2018,1,C,35,,0.08,1,
103066,2018,1,C,36,,0.06,0.82,
103067,2018,1,C,37,,0.07,1.12,
103068,2018,1,C,38,,0.07,0.93,
103069,2018,1,C,39,,0.06,0.87,
103070,2018,1,C,40,,0.11,1.29,
103071,2018,1,C,41,,0.07,0.83,
103072,2018,1,C,42,,0.06,0.83,
103073,2018,1,C,43,,0.06,0.77,
103074,2018,1,C,44,,0.11,1.32,
103075,2018,1,C,45,,0.06,0.88,
103076,2018,1,C,46,,0.07,1.02,
103077,2018,1,C,47,,0.07,1.04,
103078,2018,1,C,48,,0.06,0.84,
103079,2018,1,C,49,,0.07,0.97,
103080,2018,1,C,50,,0.07,1.04,
103081,2018,1,C,51,,0.09,1.13,
103082,2018,1,C,52,,0.08,0.99,
103083,2018,1,C,53,,0.06,0.8,
103084,2018,1,C,54,,0.06,0.83,
103085,2018,1,D,1,,0.08,1.07,
103086,2018,1,D,2,,0.08,1.16,
103087,2018,1,D,3,,0.13,1.96,
103088,2018,1,D,4,,0.07,0.87,
103089,2018,1,D,5,,0.09,1.12,
103090,2018,1,D,6,,0.09,1.36,
103091,2018,1,D,7,,0.07,0.95,
103092,2018,1,D,8,,0.08,0.99,
103093,2018,1,D,9,,0.11,1.37,
103094,2018,1,D,10,,0.07,1.07,
103095,2018,1,D,11,,0.06,0.86,
103096,2018,1,D,12,,0.08,1.13,
103097,2018,1,D,13,,0.05,0.75,
103098,2018,1,D,14,,0.07,0.93,
103099,2018,1,D,15,,0.08,1.07,
103100,2018,1,D,16,,0.08,1.08,
103101,2018,1,D,17,,0.06,0.85,
103102,2018,1,D,18,,0.1,1.33,
103103,2018,1,D,19,,0.07,0.93,
103104,2018,1,D,20,,0.08,0.97,
103105,2018,1,D,21,,0.07,0.93,
103106,2018,1,D,22,,0.09,1.22,
103107,2018,1,D,23,,0.08,1.04,
103108,2018,1,D,24,,0.12,1.67,
103109,2018,1,D,25,,0.07,1.04,
103110,2018,1,D,26,,0.08,1.09,
103111,2018,1,D,27,,0.1,1.25,S
103112,2018,1,D,28,,0.11,1.5,
103113,2018,1,D,29,,0.08,1.13,
103114,2018,1,D,30,,0.13,1.9,
103115,2018,1,D,31,,0.06,0.86,
103116,2018,1,D,32,,0.16,2.21,
103117,2018,1,D,33,,0.07,0.98,
103118,2018,1,D,34,,0.06,0.86,
103119,2018,1,D,35,,0.08,1.26,
103120,2018,1,D,36,,0.08,1.09,
103121,2018,1,D,37,,0.08,1.19,
103122,2018,1,D,38,,0.08,1.14,
103123,2018,1,D,39,,0.08,1.01,
103124,2018,1,D,40,,0.13,1.86,
103125,2018,1,D,41,,0.09,1.25,
103126,2018,1,D,42,,0.07,1.03,
103127,2018,1,D,43,,0.11,1.63,
103128,2018,1,D,44,,0.08,1.09,
103129,2018,1,D,45,,0.09,1.25,
103130,2018,2,A,1,Whole,0.06,0.75,
103131,2018,2,A,2,Whole,0.05,0.67,
103132,2018,2,A,3,Whole,0.04,0.54,
103133,2018,2,A,4,Whole,0.05,0.68,
103134,2018,2,A,5,Whole,0.07,0.89,
103135,2018,2,A,6,Whole,0.05,0.69,
103136,2018,2,A,7,Whole,0.08,1.08,
103137,2018,2,A,8,Whole,0.06,0.75,
103138,2018,2,A,9,Whole,0.06,0.71,
103139,2018,2,A,10,Whole,0.07,0.87,
103140,2018,2,A,11,Whole,0.06,0.78,
103141,2018,2,A,12,Whole,0.04,0.7,
103142,2018,2,A,13,Whole,0.04,0.65,
103143,2018,2,A,14,Whole,0.06,0.84,
103144,2018,2,A,15,Whole,0.06,0.75,
103145,2018,2,A,16,Whole,0.06,0.75,
103146,2018,2,A,17,Whole,0.05,0.71,
103147,2018,2,A,18,Whole,0.08,1.02,
103148,2018,2,A,19,Whole,0.08,1,
103149,2018,2,A,20,Whole,0.07,0.96,
103150,2018,2,A,21,Whole,0.05,0.74,
103151,2018,2,A,22,Whole,0.05,0.71,
103152,2018,2,A,23,Whole,0.06,0.78,
103153,2018,2,A,24,Whole,0.04,0.61,
103154,2018,2,A,25,Whole,0.07,0.82,
103155,2018,2,A,26,Whole,0.07,0.96,
103156,2018,2,A,27,Whole,0.06,0.8,
103157,2018,2,A,28,Whole,0.06,0.84,
103158,2018,2,A,29,Whole,0.04,0.56,
103159,2018,2,A,30,Whole,0.05,0.64,
103160,2018,2,A,31,Whole,0.06,0.81,
103161,2018,2,A,32,Whole,0.07,0.9,
103162,2018,2,A,33,Whole,0.08,0.97,
103163,2018,2,A,34,Whole,0.06,0.74,
103164,2018,2,A,35,Whole,0.06,0.78,
103165,2018,2,A,36,Whole,0.05,0.61,
103166,2018,2,A,37,Whole,0.04,0.57,
103167,2018,2,A,38,Whole,0.06,0.78,
103168,2018,2,A,39,Whole,0.07,0.95,
103169,2018,2,A,40,Whole,0.08,0.97,
103170,2018,2,A,41,Whole,0.06,0.75,
103171,2018,2,A,42,Whole,0.07,0.88,
103172,2018,2,A,43,Whole,0.08,0.92,
103173,2018,2,A,44,Whole,0.05,0.63,
103174,2018,2,A,45,Whole,0.07,0.89,
103175,2018,2,A,46,Whole,0.08,1,
103176,2018,2,A,47,Whole,0.06,0.88,
103177,2018,2,A,48,Whole,0.05,0.61,
103178,2018,2,A,49,Whole,0.05,0.71,
103179,2018,2,A,50,Whole,0.03,0.51,
103180,2018,2,A,51,Whole,0.06,0.8,
103181,2018,2,A,52,Whole,0.07,0.89,
103182,2018,2,A,53,Whole,0.05,0.61,
103183,2018,2,A,54,Whole,0.06,0.78,
103184,2018,2,B,1,East,0.04,0.77,
103185,2018,2,B,1,West,1.23,0.76,E
103186,2018,2,B,2,East,2.17,0.93,E
103187,2018,2,B,2,West,3.05,0.67,E
103188,2018,2,B,3,East,4.07,1.43,E
103189,2018,2,B,3,West,4.43,1.16,E
103190,2018,2,B,4,East,7.04,1.09,E
103191,2018,2,B,4,West,7.96,0.82,E
103192,2018,2,B,5,Whole,10.57,0.65,E
103193,2018,2,B,6,East,7.96,0.79,E
103194,2018,2,B,6,West,10.6,0.82,E
103195,2018,2,B,7,East,10.07,0.49,E
103196,2018,2,B,7,West,13.35,0.52,E
103197,2018,2,B,8,East,10.78,0.48,E
103198,2018,2,B,8,West,14.35,0.38,E
103199,2018,2,B,9,East,17.79,0.8,E
103200,2018,2,B,9,West,11.22,0.92,E
103201,2018,2,B,10,East,16.22,0.57,E
103202,2018,2,B,10,West,13.2,0.64,E
103203,2018,2,B,11,East,12.93,0.82,E
103204,2018,2,B,11,West,14.23,0.72,E
103205,2018,2,B,12,East,15.89,0.8,E
103206,2018,2,B,12,West,13.2,0.7,E
103207,2018,2,B,13,East,19.31,0.58,E
103208,2018,2,B,13,West,16.51,0.67,E
103209,2018,2,B,14,East,23.55,,E
103210,2018,2,B,14,West,17.55,0.52,E
103211,2018,2,B,15,East,0.05,0.73,
103212,2018,2,B,15,West,0.06,0.76,
103213,2018,2,B,16,East,0.05,0.66,
103214,2018,2,B,16,West,0.05,0.72,
103215,2018,2,B,17,East,0.07,0.87,
103216,2018,2,B,17,West,0.07,0.85,
103217,2018,2,B,18,East,0.07,0.94,
103218,2018,2,B,18,West,0.08,1,
103219,2018,2,B,19,East,0.1,1.2,
103220,2018,2,B,19,West,0.08,0.94,
103221,2018,2,B,20,East,0.05,0.64,
103222,2018,2,B,20,West,0.06,0.72,
103223,2018,2,B,21,East,0.07,0.84,
103224,2018,2,B,21,West,0.09,1.03,
103225,2018,2,B,22,East,0.08,0.92,
103226,2018,2,B,22,West,0.08,0.81,
103227,2018,2,B,23,East,0.06,0.71,
103228,2018,2,B,23,West,0.07,0.71,
103229,2018,2,B,24,East,0.06,0.68,
103230,2018,2,B,24,West,0.06,0.67,
103231,2018,2,B,25,East,0.09,1.08,
103232,2018,2,B,25,West,0.09,0.95,
103233,2018,2,B,26,East,0.06,0.72,
103234,2018,2,B,26,West,0.07,0.9,
103235,2018,2,B,27,Whole,0.04,0.46,
103236,2018,2,B,28,East,0.04,0.58,
103237,2018,2,B,28,West,0.05,0.62,
103238,2018,2,B,29,Whole,0.04,0.54,
103239,2018,2,B,30,Whole,0.05,0.63,
103240,2018,2,B,31,East,0.06,0.67,
103241,2018,2,B,31,West,0.05,0.65,
103242,2018,2,B,32,East,0.05,0.62,
103243,2018,2,B,32,West,0.06,0.74,
103244,2018,2,B,33,East,0.04,0.46,S
103245,2018,2,B,33,West,0.04,0.54,
103246,2018,2,B,34,Whole,0.04,0.53,
103247,2018,2,B,35,East,0.04,0.58,
103248,2018,2,B,35,West,0.04,0.63,
103249,2018,2,B,36,East,0.07,0.87,
103250,2018,2,B,36,West,0.03,0.39,S
103251,2018,2,B,37,East,0.07,0.77,
103252,2018,2,B,37,West,0.09,0.96,
103253,2018,2,B,38,East,0.08,0.89,
103254,2018,2,B,38,West,0.09,1.01,
103255,2018,2,B,39,East,0.09,1.05,
103256,2018,2,B,39,West,0.08,0.87,
103257,2018,2,B,40,East,0.04,0.53,
103258,2018,2,B,40,West,0.05,0.71,
103259,2018,2,B,41,East,0.07,0.73,
103260,2018,2,B,41,West,0.05,0.58,
103261,2018,2,B,42,East,0.07,0.87,
103262,2018,2,B,42,West,0.04,0.59,S
103263,2018,2,B,43,Whole,0.05,0.61,
103264,2018,2,B,44,East,0.04,0.58,
103265,2018,2,B,44,West,0.04,0.55,
103266,2018,2,B,45,East,0.07,0.85,
103267,2018,2,B,45,West,0.08,0.92,
103268,2018,2,B,46,East,0.05,0.61,
103269,2018,2,B,46,West,0.05,0.6,
103270,2018,2,B,47,East,0.06,0.79,
103271,2018,2,B,47,West,0.06,0.72,
103272,2018,2,B,48,East,0.07,0.83,
103273,2018,2,B,48,West,0.06,0.68,
103274,2018,2,B,49,East,0.09,0.89,
103275,2018,2,B,49,West,0.07,0.88,
103276,2018,2,B,50,East,0.05,0.7,
103277,2018,2,B,50,West,0.04,0.6,
103278,2018,2,B,51,East,0.06,0.69,
103279,2018,2,B,51,West,0.04,0.55,
103280,2018,2,B,52,East,0.08,0.84,
103281,2018,2,B,52,West,0.07,0.82,
103282,2018,2,B,53,East,0.1,1.37,
103283,2018,2,B,53,West,0.07,0.87,
103284,2018,2,B,54,East,0.06,0.89,
103285,2018,2,B,54,West,0.07,1.03,
103286,2018,2,C,1,Whole,0.07,0.86,
103287,2018,2,C,2,Whole,0.08,0.87,
103288,2018,2,C,3,East,0.07,0.81,
103289,2018,2,C,3,West,0.07,0.89,
103290,2018,2,C,4,East,0.1,1.09,
103291,2018,2,C,4,West,0.08,0.9,
103292,2018,2,C,5,Whole,0.08,1,
103293,2018,2,C,6,East,0.08,0.97,
103294,2018,2,C,6,West,0.07,0.87,
103295,2018,2,C,7,East,0.1,1.22,
103296,2018,2,C,7,West,0.13,1.53,
103297,2018,2,C,8,East,0.09,1.11,
103298,2018,2,C,8,West,0.09,1.11,
103299,2018,2,C,9,Whole,0.07,0.82,
103300,2018,2,C,10,Whole,0.08,0.91,S
103301,2018,2,C,11,Whole,0.08,0.87,
103302,2018,2,C,12,East,0.09,1.01,
103303,2018,2,C,12,West,0.09,1.01,
103304,2018,2,C,13,Whole,0.1,1.08,
103305,2018,2,C,14,Whole,0.11,1.14,
103306,2018,2,C,15,East,0.1,1.29,
103307,2018,2,C,15,West,0.15,1.84,
103308,2018,2,C,16,Whole,0.07,0.84,
103309,2018,2,C,17,Whole,0.08,0.91,
103310,2018,2,C,18,East,0.07,0.84,
103311,2018,2,C,18,West,0.07,0.8,
103312,2018,2,C,19,East,0.11,1.28,S
103313,2018,2,C,19,West,0.1,1.24,
103314,2018,2,C,20,Whole,0.1,1.34,
103315,2018,2,C,21,Whole,0.1,1.18,
103316,2018,2,C,22,East,0.11,1.26,
103317,2018,2,C,22,West,0.13,1.43,
103318,2018,2,C,23,East,0.09,1.2,
103319,2018,2,C,23,West,0.08,0.98,
103320,2018,2,C,24,Whole,0.08,0.95,
103321,2018,2,C,25,Whole,0.09,1.07,
103322,2018,2,C,26,Whole,0.12,1.36,
103323,2018,2,C,27,East,0.13,1.45,
103324,2018,2,C,27,West,0.14,1.66,
103325,2018,2,C,28,East,0.14,1.5,
103326,2018,2,C,28,West,0.13,1.51,
103327,2018,2,C,29,Whole,0.07,0.95,
103328,2018,2,C,30,Whole,0.08,0.88,
103329,2018,2,C,31,Whole,0.07,0.8,
103330,2018,2,C,32,Whole,0.08,0.81,
103331,2018,2,C,33,East,0.09,1.14,
103332,2018,2,C,33,West,0.08,1.03,
103333,2018,2,C,34,Whole,0.08,0.98,
103334,2018,2,C,35,Whole,0.09,1.08,
103335,2018,2,C,36,East,0.08,0.93,
103336,2018,2,C,36,West,0.08,0.9,
103337,2018,2,C,37,East,0.09,1.01,
103338,2018,2,C,37,West,0.09,1.12,
103339,2018,2,C,38,East,0.08,0.86,
103340,2018,2,C,38,West,0.08,0.84,
103341,2018,2,C,39,Whole,0.09,1,
103342,2018,2,C,40,Whole,0.07,0.83,
103343,2018,2,C,41,East,0.1,1.22,
103344,2018,2,C,41,West,0.11,1.31,
103345,2018,2,C,42,East,0.08,0.92,S
103346,2018,2,C,42,West,0.09,1.05,
103347,2018,2,C,43,East,0.09,1.06,
103348,2018,2,C,43,West,0.08,0.98,
103349,2018,2,C,44,East,0.09,0.95,
103350,2018,2,C,44,West,0.08,0.85,
103351,2018,2,C,45,Whole,0.07,0.82,
103352,2018,2,C,46,Whole,0.07,0.81,
103353,2018,2,C,47,Whole,0.07,0.75,
103354,2018,2,C,48,East,0.09,1.05,
103355,2018,2,C,48,West,0.07,0.8,
103356,2018,2,C,49,East,0.1,1.02,
103357,2018,2,C,49,West,0.08,0.92,
103358,2018,2,C,50,Whole,0.07,0.7,
103359,2018,2,C,51,Whole,0.07,0.78,
103360,2018,2,C,52,East,0.08,0.99,
103361,2018,2,C,52,West,0.08,0.91,
103362,2018,2,C,53,Whole,0.07,0.69,
103363,2018,2,C,54,Whole,0.06,0.66,